id,counts,density,name,acronym
0,0,0,b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background'
31,0,0,"b'Somatosensory areas, layer 1'",b'SS1',b'SS1',b'SS1',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
32,0,0,"b'Somatosensory areas, layer 2/3'",b'SS2/3',b'SS2/3',b'SS2/3',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
33,0,0,"b'Somatosensory areas, layer 4'",b'SS4',b'SS4',b'SS4',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
34,0,0,"b'Somatosensory areas, layer 5'",b'SS5',b'SS5',b'SS5',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
35,0,0,"b'Somatosensory areas, layer 6a'",b'SS6a',b'SS6a',b'SS6a',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
36,0,0,"b'Somatosensory areas, layer 6b'",b'SS6b',b'SS6b',b'SS6b',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
37,0,0,b'Primary somatosensory area',b'SSp',b'SSp',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
38,0,0,"b'Primary somatosensory area, layer 1'",b'SSp1',b'SSp1',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
39,0,0,"b'Primary somatosensory area, layer 2/3'",b'SSp2/3',b'SSp2/3',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
40,0,0,"b'Primary somatosensory area, layer 4'",b'SSp4',b'SSp4',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
41,0,0,"b'Primary somatosensory area, layer 5'",b'SSp5',b'SSp5',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
42,0,0,"b'Primary somatosensory area, layer 6a'",b'SSp6a',b'SSp6a',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
43,0,0,"b'Primary somatosensory area, layer 6b'",b'SSp6b',b'SSp6b',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
44,0,0,"b'Primary somatosensory area, nose'",b'SSp-n',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
45,0,0,"b'Primary somatosensory area, nose, layer 1'",b'SSp-n1',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
46,0,0,"b'Primary somatosensory area, nose, layer 2/3'",b'SSp-n2/3',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
47,0,0,"b'Primary somatosensory area, nose, layer 4'",b'SSp-n4',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
48,0,0,"b'Primary somatosensory area, nose, layer 5'",b'SSp-n5',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
49,0,0,"b'Primary somatosensory area, nose, layer 6a'",b'SSp-n6a',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
50,0,0,"b'Primary somatosensory area, nose, layer 6b'",b'SSp-n6b',b'SSp-n',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
51,0,0,"b'Primary somatosensory area, barrel field'",b'SSp-bfd',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
52,0,0,"b'Primary somatosensory area, barrel field, layer 1'",b'SSp-bfd1',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
53,0,0,"b'Primary somatosensory area, barrel field, layer 2/3'",b'SSp-bfd2/3',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
54,0,0,"b'Primary somatosensory area, barrel field, layer 4'",b'SSp-bfd4',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
55,0,0,"b'Primary somatosensory area, barrel field, layer 5'",b'SSp-bfd5',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
56,0,0,"b'Primary somatosensory area, barrel field, layer 6a'",b'SSp-bfd6a',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
57,0,0,"b'Primary somatosensory area, barrel field, layer 6b'",b'SSp-bfd6b',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
58,0,0,b'Rostrolateral lateral visual area',b'VISrll',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
59,0,0,"b'Rostrolateral lateral visual area, layer 1'",b'VISrll1',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
60,0,0,"b'Rostrolateral lateral visual area, layer 2/3'",b'VISrll2/3',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
61,0,0,"b'Rostrolateral lateral visual area, layer 4'",b'VISrll4',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
62,0,0,"b'Rostrolateral lateral visual area,layer 5'",b'VISrll5',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
63,0,0,"b'Rostrolateral lateral visual area, layer 6a'",b'VISrll6a',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
64,0,0,"b'Rostrolateral lateral visual area, layer 6b'",b'VISrll6b',b'SSp-bfd',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
65,0,0,"b'Primary somatosensory area, lower limb'",b'SSp-ll',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
66,0,0,"b'Primary somatosensory area, lower limb, layer 1'",b'SSp-ll1',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
67,0,0,"b'Primary somatosensory area, lower limb, layer 2/3'",b'SSp-ll2/3',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
68,0,0,"b'Primary somatosensory area, lower limb, layer 4'",b'SSp-ll4',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
69,0,0,"b'Primary somatosensory area, lower limb, layer 5'",b'SSp-ll5',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
70,0,0,"b'Primary somatosensory area, lower limb, layer 6a'",b'SSp-ll6a',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
71,0,0,"b'Primary somatosensory area, lower limb, layer 6b'",b'SSp-ll6b',b'SSp-ll',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
72,0,0,"b'Primary somatosensory area, mouth'",b'SSp-m',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
73,0,0,"b'Primary somatosensory area, mouth, layer 1'",b'SSp-m1',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
74,0,0,"b'Primary somatosensory area, mouth, layer 2/3'",b'SSp-m2/3',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
75,0,0,"b'Primary somatosensory area, mouth, layer 4'",b'SSp-m4',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
76,0,0,"b'Primary somatosensory area, mouth, layer 5'",b'SSp-m5',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
77,0,0,"b'Primary somatosensory area, mouth, layer 6a'",b'SSp-m6a',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
78,0,0,"b'Primary somatosensory area, mouth, layer 6b'",b'SSp-m6b',b'SSp-m',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
79,0,0,"b'Primary somatosensory area, upper limb'",b'SSp-ul',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
80,0,0,"b'Primary somatosensory area, upper limb, layer 1'",b'SSp-ul1',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
81,0,0,"b'Primary somatosensory area, upper limb, layer 2/3'",b'SSp-ul2/3',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
82,0,0,"b'Primary somatosensory area, upper limb, layer 4'",b'SSp-ul4',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
83,0,0,"b'Primary somatosensory area, upper limb, layer 5'",b'SSp-ul5',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
84,0,0,"b'Primary somatosensory area, upper limb, layer 6a'",b'SSp-ul6a',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
85,0,0,"b'Primary somatosensory area, upper limb, layer 6b'",b'SSp-ul6b',b'SSp-ul',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
86,0,0,"b'Primary somatosensory area, trunk'",b'SSp-tr',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
87,0,0,"b'Primary somatosensory area, trunk, layer 1'",b'SSp-tr1',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
88,0,0,"b'Primary somatosensory area, trunk, layer 2/3'",b'SSp-tr2/3',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
89,0,0,"b'Primary somatosensory area, trunk, layer 4'",b'SSp-tr4',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
90,0,0,"b'Primary somatosensory area, trunk, layer 5'",b'SSp-tr5',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
91,0,0,"b'Primary somatosensory area, trunk, layer 6a'",b'SSp-tr6a',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
92,0,0,"b'Primary somatosensory area, trunk, layer 6b'",b'SSp-tr6b',b'SSp-tr',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
93,0,0,"b'Primary somatosensory area, unassigned'",b'SSp-un',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
94,0,0,"b'Primary somatosensory area, unassigned, layer 1'",b'SSp-un1',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
95,0,0,"b'Primary somatosensory area, unassigned, layer 2/3'",b'SSp-un2/3',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
96,0,0,"b'Primary somatosensory area, unassigned, layer 4'",b'SSp-un4',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
97,0,0,"b'Primary somatosensory area, unassigned, layer 5'",b'SSp-un5',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
98,0,0,"b'Primary somatosensory area, unassigned, layer 6a'",b'SSp-un6a',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
99,0,0,"b'Primary somatosensory area, unassigned, layer 6b'",b'SSp-un6b',b'SSp-un',b'SSp',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
100,0,0,b'Supplemental somatosensory area',b'SSs',b'SSs',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
101,0,0,"b'Supplemental somatosensory area, layer 1'",b'SSs1',b'SSs1',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
102,0,0,"b'Supplemental somatosensory area, layer 2/3'",b'SSs2/3',b'SSs2/3',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
103,0,0,"b'Supplemental somatosensory area, layer 4'",b'SSs4',b'SSs4',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
104,0,0,"b'Supplemental somatosensory area, layer 5'",b'SSs5',b'SSs5',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
105,0,0,"b'Supplemental somatosensory area, layer 6a'",b'SSs6a',b'SSs6a',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
106,0,0,"b'Supplemental somatosensory area, layer 6b'",b'SSs6b',b'SSs6b',b'SSs',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
107,0,0,b'Gustatory areas',b'GU',b'GU',b'GU',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
108,0,0,"b'Gustatory areas, layer 1'",b'GU1',b'GU1',b'GU1',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
109,0,0,"b'Gustatory areas, layer 2/3'",b'GU2/3',b'GU2/3',b'GU2/3',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
110,0,0,"b'Gustatory areas, layer 4'",b'GU4',b'GU4',b'GU4',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
111,0,0,"b'Gustatory areas, layer 5'",b'GU5',b'GU5',b'GU5',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
112,0,0,"b'Gustatory areas, layer 6a'",b'GU6a',b'GU6a',b'GU6a',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
113,0,0,"b'Gustatory areas, layer 6b'",b'GU6b',b'GU6b',b'GU6b',b'GU',b'Isocortex',b'CTXpl',b'CTX',b'CH'
114,0,0,b'Visceral area',b'VISC',b'VISC',b'VISC',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
115,0,0,"b'Visceral area, layer 1'",b'VISC1',b'VISC1',b'VISC1',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
116,0,0,"b'Visceral area, layer 2/3'",b'VISC2/3',b'VISC2/3',b'VISC2/3',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
117,0,0,"b'Visceral area, layer 4'",b'VISC4',b'VISC4',b'VISC4',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
118,0,0,"b'Visceral area, layer 5'",b'VISC5',b'VISC5',b'VISC5',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
119,0,0,"b'Visceral area, layer 6a'",b'VISC6a',b'VISC6a',b'VISC6a',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
120,0,0,"b'Visceral area, layer 6b'",b'VISC6b',b'VISC6b',b'VISC6b',b'VISC',b'Isocortex',b'CTXpl',b'CTX',b'CH'
121,0,0,b'Auditory areas',b'AUD',b'AUD',b'AUD',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
122,0,0,b'Dorsal auditory area',b'AUDd',b'AUDd',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
123,0,0,"b'Dorsal auditory area, layer 1'",b'AUDd1',b'AUDd1',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
124,0,0,"b'Dorsal auditory area, layer 2/3'",b'AUDd2/3',b'AUDd2/3',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
125,0,0,"b'Dorsal auditory area, layer 4'",b'AUDd4',b'AUDd4',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
126,0,0,"b'Dorsal auditory area, layer 5'",b'AUDd5',b'AUDd5',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
127,0,0,"b'Dorsal auditory area, layer 6a'",b'AUDd6a',b'AUDd6a',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
128,0,0,"b'Dorsal auditory area, layer 6b'",b'AUDd6b',b'AUDd6b',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
129,0,0,b'Laterolateral anterior visual area',b'VISlla',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
130,0,0,"b'Laterolateral anterior visual area, layer 1'",b'VISlla1',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
131,0,0,"b'Laterolateral anterior visual area, layer 2/3'",b'VISlla2/3',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
132,0,0,"b'Laterolateral anterior visual area, layer 4'",b'VISlla4',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
133,0,0,"b'Laterolateral anterior visual area,layer 5'",b'VISlla5',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
134,0,0,"b'Laterolateral anterior visual area, layer 6a'",b'VISlla6a',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
135,0,0,"b'Laterolateral anterior visual area, layer 6b'",b'VISlla6b',b'VISlla',b'AUDd',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
136,0,0,b'Primary auditory area',b'AUDp',b'AUDp',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
137,0,0,"b'Primary auditory area, layer 1'",b'AUDp1',b'AUDp1',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
138,0,0,"b'Primary auditory area, layer 2/3'",b'AUDp2/3',b'AUDp2/3',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
139,0,0,"b'Primary auditory area, layer 4'",b'AUDp4',b'AUDp4',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
140,0,0,"b'Primary auditory area, layer 5'",b'AUDp5',b'AUDp5',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
141,0,0,"b'Primary auditory area, layer 6a'",b'AUDp6a',b'AUDp6a',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
142,0,0,"b'Primary auditory area, layer 6b'",b'AUDp6b',b'AUDp6b',b'AUDp',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
143,0,0,b'Posterior auditory area',b'AUDpo',b'AUDpo',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
144,0,0,"b'Posterior auditory area, layer 1'",b'AUDpo1',b'AUDpo1',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
145,0,0,"b'Posterior auditory area, layer 2/3'",b'AUDpo2/3',b'AUDpo2/3',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
146,0,0,"b'Posterior auditory area, layer 4'",b'AUDpo4',b'AUDpo4',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
147,0,0,"b'Posterior auditory area, layer 5'",b'AUDpo5',b'AUDpo5',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
148,0,0,"b'Posterior auditory area, layer 6a'",b'AUDpo6a',b'AUDpo6a',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
149,0,0,"b'Posterior auditory area, layer 6b'",b'AUDpo6b',b'AUDpo6b',b'AUDpo',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
150,0,0,b'Ventral auditory area',b'AUDv',b'AUDv',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
151,0,0,"b'Ventral auditory area, layer 1'",b'AUDv1',b'AUDv1',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
152,0,0,"b'Ventral auditory area, layer 2/3'",b'AUDv2/3',b'AUDv2/3',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
153,0,0,"b'Ventral auditory area, layer 4'",b'AUDv4',b'AUDv4',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
154,0,0,"b'Ventral auditory area, layer 5'",b'AUDv5',b'AUDv5',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
155,0,0,"b'Ventral auditory area, layer 6a'",b'AUDv6a',b'AUDv6a',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
156,0,0,"b'Ventral auditory area, layer 6b'",b'AUDv6b',b'AUDv6b',b'AUDv',b'AUD',b'Isocortex',b'CTXpl',b'CTX',b'CH'
157,0,0,b'Visual areas',b'VIS',b'VIS',b'VIS',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
158,0,0,"b'Visual areas, layer 1'",b'VIS1',b'VIS1',b'VIS1',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
159,0,0,"b'Visual areas, layer 2/3'",b'VIS2/3',b'VIS2/3',b'VIS2/3',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
160,0,0,"b'Visual areas, layer 4'",b'VIS4',b'VIS4',b'VIS4',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
161,0,0,"b'Visual areas, layer 5'",b'VIS5',b'VIS5',b'VIS5',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
162,0,0,"b'Visual areas, layer 6a'",b'VIS6a',b'VIS6a',b'VIS6a',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
163,0,0,"b'Visual areas, layer 6b'",b'VIS6b',b'VIS6b',b'VIS6b',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
164,0,0,b'Anterolateral visual area',b'VISal',b'VISal',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
165,0,0,"b'Anterolateral visual area, layer 1'",b'VISal1',b'VISal1',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
166,0,0,"b'Anterolateral visual area, layer 2/3'",b'VISal2/3',b'VISal2/3',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
167,0,0,"b'Anterolateral visual area, layer 4'",b'VISal4',b'VISal4',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
168,0,0,"b'Anterolateral visual area, layer 5'",b'VISal5',b'VISal5',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
169,0,0,"b'Anterolateral visual area, layer 6a'",b'VISal6a',b'VISal6a',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
170,0,0,"b'Anterolateral visual area, layer 6b'",b'VISal6b',b'VISal6b',b'VISal',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
171,0,0,b'Anteromedial visual area',b'VISam',b'VISam',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
